,P_Slow Walk,P_Med Walk,P_Fast Walk,P_Short Jump,P_Med Jump,P_High Jump,P_Up Slow,P_Down Slow,P_Up Med,P_Down Med,P_Up Fast,P_Down Fast,P_Right Turn,P_Left Turn,
A_Slow Walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Med Walk,3,41,1,1,0,1,0,0,0,0,0,0,0,1,
A_Fast Walk,0,9,87,1,0,4,0,0,0,0,0,4,0,1,
A_Short Jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Med Jump,0,0,0,5,2,9,0,0,0,0,0,0,0,0,
A_High Jump,0,0,0,0,3,32,0,0,0,1,0,3,0,0,
A_Up Slow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Down Slow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Up Med,0,0,0,0,0,1,4,0,6,0,2,0,0,3,
A_Down Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Up Fast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Down Fast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Right Turn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A_Left Turn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
